,count,mean,std,min,25%,50%,75%,max,variance,missing,missing_percent,zeros_percent
IRF7,76893.0,0.29468830174347405,0.5477954023131955,-1.24944548727991,0.0,0.0769723262363681,0.392545515049143,4.23951014851243,0.3000798027954757,0,0.0,12.79
BANK1,76893.0,0.3439602089662312,0.7802242346601876,-0.841264779615449,0.0,0.0039672612500232,0.0609682293670796,5.75767926879075,0.6087498563510756,0,0.0,16.85
LGALS2,76893.0,0.23074021623278732,0.5811746948441965,-1.74487532986914,-2.73253250308003e-06,0.0079825616215533,0.0492687650593982,3.74801098290243,0.3377640259272449,0,0.0,15.57
IL1B,76893.0,0.04795735437912298,0.2932432707077383,-1.88967590490177,-0.0076744190857845,0.0,0.0137525575830408,3.90301746484856,0.0859916158153719,0,0.0,21.08
ITGA2B,76893.0,0.0013806466148270269,0.05896055222324258,-0.466069209745421,-0.0006058574867125,0.0,7.38321204291042e-05,3.46126020537048,0.0034763467184697155,0,0.0,31.52
APOBEC3A,76893.0,0.24079895715379876,0.5842417032456168,-1.02349690325195,0.0,0.0129675170955859,0.0468102371199309,4.49411163045937,0.3413383678113393,0,0.0,14.91
CCL4L2,76893.0,0.026145687295891885,0.17348138599429333,-1.21763026170049,-0.0013169512655703,0.0,0.0071301605954706,3.90344915733575,0.030095791286500993,0,0.0,24.05
EREG,76893.0,0.008307225932161658,0.14100139095606945,-0.936520601906684,-0.0005615932701006,0.0,0.0027015549665908,3.06577398229697,0.019881392251546344,0,0.0,23.67
HMOX1,76893.0,0.1285221304953356,0.3904173055587916,-1.00710798297182,-0.0019159800872863,0.0013392160713813,0.0300209855223357,5.11023660278302,0.15242567247978686,0,0.0,17.79
IFIT2,76893.0,0.2987577472571186,0.5499705656142827,-1.06882469419101,0.0,0.071578117492557,0.299814192577942,5.75248053756093,0.302467623042094,0,0.0,13.23
CD79B,76893.0,0.48043855746503744,0.8797025424120403,-1.1952952535665,-0.0056289729943683,0.0340072527070499,0.722290760028419,4.23666935016727,0.7738765631262075,0,0.0,13.18
PRSS57,76893.0,0.00998412996325598,0.09859810737818757,-0.671142835520617,-3.60806118193538e-06,0.0,0.0003884160106827,3.65665463252057,0.009721586778560606,0,0.0,33.83
SPIB,76893.0,0.16658914022247434,0.4677583912344997,-0.791820933043684,0.0,0.0026001958690066,0.0164830058902092,4.71930239857731,0.21879791257028727,0,0.0,18.43
KLRF1,76893.0,0.19582617107294503,0.5842220117044638,-0.983780582970968,0.0,0.0031870312860329,0.0217526732371222,4.8232157382189,0.3413153589600106,0,0.0,18.52
GATA2,76893.0,0.0002429418516614173,0.0166262466088276,-0.262019573239341,-9.19117965039675e-08,0.0,0.0,1.65232714892654,0.0002764320762975513,0,0.0,46.43
CYTL1,76893.0,0.0017901270837641723,0.07496432927988968,-0.817843976799932,-0.0001476143621631,0.0,1.11483470601604e-06,2.8839204976732,0.005619650664383725,0,0.0,28.22
SAT1,76893.0,1.1356974006087162,1.188702755003223,-1.97667415706027,0.0702968038445089,0.92991164571312,1.91362119277221,4.98692624637341,1.4130142397522523,0,0.0,6.91
SEC11C,76893.0,0.3944411062794624,0.518899788481263,-0.885720489896152,0.0171540688110049,0.208635761024348,0.604375770597239,5.19590126221374,0.2692569904858994,0,0.0,11.6
BCL11A,76893.0,0.33340939862343116,0.606947720767583,-0.883516550178204,0.0,0.0080053253982324,0.386235330497176,4.21762357338918,0.3683855357449639,0,0.0,15.51
TUBA1B,76893.0,0.7936653973720754,0.7906556571488013,-2.01291598416747,0.0735512119053889,0.705581355788596,1.362190569656,4.80664501714634,0.6251363681814027,0,0.0,7.44
HMGB2,76893.0,0.4685068861563484,0.6565910896992567,-1.87622711327766,0.0,0.20340633377655,0.910382297016733,4.52084265195027,0.4311118590724574,0,0.0,10.4
